,station_code,Date,Avg_pm_25_value
494,site_107,02-09-2020,0
495,site_107,03-09-2020,0
496,site_107,04-09-2020,0
497,site_107,05-09-2020,0
498,site_107,06-09-2020,0
499,site_107,07-09-2020,0
500,site_107,08-09-2020,0
501,site_107,09-09-2020,0
502,site_107,10-09-2020,0
503,site_107,11-09-2020,0
504,site_124,25-08-2020,0
505,site_124,26-08-2020,0
506,site_124,27-08-2020,0
507,site_124,28-08-2020,0
508,site_124,29-08-2020,0
509,site_124,30-08-2020,0
510,site_124,31-08-2020,0
511,site_124,01-09-2020,0
512,site_124,02-09-2020,0
513,site_124,03-09-2020,0
514,site_124,04-09-2020,0
515,site_124,05-09-2020,0
516,site_124,06-09-2020,0
517,site_124,07-09-2020,0
518,site_124,08-09-2020,0
519,site_124,09-09-2020,0
520,site_124,10-09-2020,0
521,site_124,11-09-2020,0
522,site_1430,25-08-2020,0
523,site_1430,26-08-2020,0
524,site_1430,27-08-2020,0
525,site_1430,28-08-2020,0
526,site_1430,29-08-2020,0
527,site_1430,30-08-2020,0
528,site_1430,31-08-2020,0
529,site_1430,01-09-2020,0
530,site_1430,02-09-2020,0
531,site_1430,03-09-2020,0
532,site_1430,04-09-2020,0
533,site_1430,05-09-2020,0
534,site_1430,06-09-2020,0
535,site_1430,07-09-2020,0
536,site_1430,08-09-2020,0
537,site_1430,09-09-2020,0
538,site_1430,10-09-2020,0
539,site_1430,11-09-2020,0
540,site_113,25-08-2020,0
541,site_113,26-08-2020,0
542,site_113,27-08-2020,0
543,site_113,28-08-2020,0
544,site_113,29-08-2020,0
545,site_113,30-08-2020,0
546,site_113,31-08-2020,0
547,site_113,01-09-2020,0
548,site_113,02-09-2020,0
549,site_113,03-09-2020,0
550,site_113,04-09-2020,0
551,site_113,05-09-2020,0
552,site_113,06-09-2020,0
553,site_113,07-09-2020,0
554,site_113,08-09-2020,0
555,site_113,09-09-2020,0
556,site_113,10-09-2020,0
557,site_113,11-09-2020,0
558,site_119,25-08-2020,0
559,site_119,26-08-2020,0
560,site_119,27-08-2020,0
561,site_119,28-08-2020,0
562,site_119,29-08-2020,0
563,site_119,30-08-2020,0
564,site_119,31-08-2020,0
565,site_119,01-09-2020,0
566,site_119,02-09-2020,0
567,site_119,03-09-2020,0
568,site_119,04-09-2020,0
569,site_119,05-09-2020,0
570,site_119,06-09-2020,0
571,site_119,07-09-2020,0
572,site_119,08-09-2020,0
573,site_119,09-09-2020,0
574,site_119,10-09-2020,0
575,site_119,11-09-2020,0
576,site_1432,25-08-2020,0
577,site_1432,26-08-2020,0
578,site_1432,27-08-2020,0
579,site_1432,28-08-2020,0
580,site_1432,29-08-2020,0
581,site_1432,30-08-2020,0
582,site_1432,31-08-2020,0
583,site_1432,01-09-2020,0
584,site_1432,02-09-2020,0
585,site_1432,03-09-2020,0
586,site_1432,04-09-2020,0
587,site_1432,05-09-2020,0
588,site_1432,06-09-2020,0
589,site_1432,07-09-2020,0
590,site_1432,08-09-2020,0
591,site_1432,09-09-2020,0
592,site_1432,10-09-2020,0
593,site_1432,11-09-2020,0
594,site_1562,25-08-2020,0
595,site_1562,26-08-2020,0
596,site_1562,27-08-2020,0
597,site_1562,28-08-2020,0
598,site_1562,29-08-2020,0
599,site_1562,30-08-2020,0
600,site_1562,31-08-2020,0
601,site_1562,01-09-2020,0
602,site_1562,02-09-2020,0
603,site_1562,03-09-2020,0
