,States,City,st_Code,st_Name,Board,Latitude,Longitude
171,Rajasthan,Jaipur,site_1393,"Adarsh Nagar, Jaipur",RSPCB,26.902909,75.836858
172,Rajasthan,Jaipur,site_134,"Police Commissionerate, Jaipur",RSPCB,26.916409,75.79949
173,Rajasthan,Jaipur,site_1396,"Shastri Nagar, Jaipur",RSPCB,26.950293,75.730943
174,Rajasthan,Jodhpur,site_136,"Collectorate, Jodhpur",RSPCB,26.268249,73.019385
175,Rajasthan,Kota,site_1394,"Shrinath Puram, Kota",RSPCB,25.14389,75.821256
176,Rajasthan,Pali,site_1395,"Indira Colony Vistar, Pali",RSPCB,25.771061,73.340227
177,Rajasthan,Udaipur,site_1397,"Ashok Nagar, Udaipur",RSPCB,24.588617,73.63214
178,Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai",CPCB,12.909916,80.107654
179,Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai",TNPCB,13.1662,80.2584
180,Tamil Nadu,Chennai,site_306,"Manali, Chennai",CPCB,13.164544,80.26285
181,Tamil Nadu,Chennai,site_288,"Velachery Res. Area, Chennai",CPCB,13.005219,80.239813
182,Tamil Nadu,Coimbatore,site_5094,"SIDCO Kurichi, Coimbatore",TNPCB,10.942451,76.978996
183,Telangana,Hyderabad,site_199,"Bollaram Industrial Area, Hyderabad",TSPCB,17.540891,78.358528
184,Telangana,Hyderabad,site_262,"Central University, Hyderabad",TSPCB,17.460103,78.334361
185,Telangana,Hyderabad,site_251,"ICRISAT Patancheru, Hyderabad",TSPCB,17.5184,78.278777
186,Telangana,Hyderabad,site_275,"IDA Pashamylaram, Hyderabad",TSPCB,17.53169,78.218939
187,Telangana,Hyderabad,site_294,"Sanathnagar, Hyderabad",TSPCB,17.455946,78.433215
188,Telangana,Hyderabad,site_298,"Zoo Park, Hyderabad",TSPCB,17.349694,78.451437
189,Uttar Pradesh,Agra,site_307,"Sanjay Palace, Agra",UPPCB,27.198658,78.005981
190,Uttar Pradesh,Baghpat,site_1569,"New Collectorate, Baghpat",UPPCB,28.974801,77.213357
191,Uttar Pradesh,Bulandshahr,site_1542,"Yamunapuram, Bulandshahr",UPPCB,28.406963,77.849831
192,Uttar Pradesh,Ghaziabad,site_5082,"Indirapuram, Ghaziabad",UPPCB,28.646233,77.358075
193,Uttar Pradesh,Ghaziabad,site_5083,"Loni, Ghaziabad",UPPCB,28.757294,77.278792
194,Uttar Pradesh,Ghaziabad,site_5081,"Sanjay Nagar, Ghaziabad",UPPCB,28.685382,77.453839
195,Uttar Pradesh,Ghaziabad,site_144,"Vasundhara, Ghaziabad",UPPCB,28.660335,77.357256
196,Uttar Pradesh,Greater Noida,site_1541,"Knowledge Park - III, Greater Noida",UPPCB,28.47272,77.482
197,Uttar Pradesh,Greater Noida,site_5121,"Knowledge Park - V, Greater Noida",UPPCB,28.557054,77.453663
198,Uttar Pradesh,Hapur,site_5023,"Anand Vihar, Hapur",UPPCB,28.725645,77.749675
199,Uttar Pradesh,Kanpur,site_276,"Nehru Nagar, Kanpur",UPPCB,26.470314,80.322986
200,Uttar Pradesh,Lucknow,site_272,"Central School, Lucknow",CPCB,26.8821,80.930275
201,Uttar Pradesh,Lucknow,site_5128,"Gomti Nagar, Lucknow",UPPCB,26.86812,81.005119
202,Uttar Pradesh,Lucknow,site_277,"Lalbagh, Lucknow",CPCB,26.84588,80.936554
203,Uttar Pradesh,Lucknow,site_279,"Talkatora District Industries Center, Lucknow",CPCB,26.833997,80.891736
204,Uttar Pradesh,Meerut,site_5258,"Ganga Nagar, Meerut",UPPCB,28.999264,77.759035
205,Uttar Pradesh,Meerut,site_5109,"Jai Bhim Nagar, Meerut",UPPCB,28.953588,77.762294
206,Uttar Pradesh,Meerut,site_5257,"Pallavpuram Phase 2, Meerut",UPPCB,29.06351,77.709723
207,Uttar Pradesh,Moradabad,site_1398,"Lajpat Nagar, Moradabad",UPPCB,28.825341,78.721301
208,Uttar Pradesh,Muzaffarnagar,site_1550,"New Mandi, Muzaffarnagar",UPPCB,29.472351,77.719403
209,Uttar Pradesh,Noida,site_153,"Sector - 125, Noida",UPPCB,28.544761,77.323126
210,Uttar Pradesh,Noida,site_111,"Sector - 62, Noida",IMD,28.624548,77.35771
211,Uttar Pradesh,Noida,site_5123,"Sector-1, Noida",UPPCB,28.5898,77.3101
212,Uttar Pradesh,Noida,site_5122,"Sector-116, Noida",UPPCB,28.56923,77.393848
213,Uttar Pradesh,Varanasi,site_273,"Ardhali Bazar, Varanasi",UPPCB,25.350599,82.908307
214,West Bengal,Asansol,site_1418,"Asansol Court Area, Asansol",WBPCB,23.685297,86.945968
215,West Bengal,Howrah,site_5101,"Belur Math, Howrah",WBPCB,22.629801,88.352017
